Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-102.2011	-131.8815	29.68041	0.00220253	0.0687426	0.0255297	0.00171608	0.00540116	0.0673662	0.0485598	0.083625	0.0384643	0.0111553	0.0742876	0.0180393	0.0552132	0.0496471	0.118886	0.122813	0.00426123	0.0735554	0.0747379	0.0320739	0.00209375	0.0224516	0.0582521	0.0191105	0.0545013	0.00842861	0.0161046	0.0280953	0.026514	0.461826	1.59199	0.3793273	1.620673	0.568136	0.759007	0.917569	1.08984	1.31751	1.76014	0.4088187	4.272491	0.3191024	0.00181753	0.0567263	0.0210671	0.00141611	0.00445703	0.0555905	0.0400715	0.0690073	0.0317407	0.00920531	0.061302	0.014886	0.0455619	0.0409688	0.0981045	0.101345	0.00351636	0.0606978	0.0616736	0.0264673	0.00172776	0.018527	0.0480696	0.01577	0.0449745	0.00695528	0.0132895	0.0231842	0.0218794	0.810336	0.189664	1.211829
36	-107.3754	-136.7075	29.33213	0.0220882	0.0387777	0.0177479	0.0340417	0.0494671	0.00771754	0.0320976	0.106395	0.0364464	0.158598	0.0777695	0.0048681	0.0033911	0.0470381	0.122172	0.113773	0.0222454	0.0270959	0.0235545	0.0053836	0.035351	0.0876736	0.0533022	0.053511	0.0159182	0.0140965	0.0049415	0.0156726	0.0850618	0.245956	1.82945	0.2498666	1.750133	0.57339	0.762422	0.918855	1.08831	1.31161	1.74401	0.4021626	7.00427	0.147887	0.0167819	0.0294619	0.0134843	0.0258637	0.0375833	0.00586352	0.0243866	0.0808352	0.0276907	0.120498	0.0590865	0.00369861	0.00257644	0.0357379	0.0928218	0.0864407	0.0169013	0.0205865	0.0178958	0.00409027	0.0268584	0.0666113	0.0404971	0.0406557	0.0120941	0.01071	0.00375437	0.0119075	0.0646269	0.875067	0.124933	1.316197
72	-91.49452	-121.9076	30.41309	0.0060582	0.00736515	0.00734749	0.00401734	0.0343214	0.0146687	0.0737742	0.0691198	0.00615178	0.0359977	0.00449213	0.00243794	0.0256924	0.0325272	0.0442086	0.0607267	0.0227385	0.00320791	0.0353782	0.0679846	0.00131891	0.000377095	0.042347	0.00667009	0.0222577	0.00230331	0.00914732	0.0199034	0.0664621	0.962232	1.04154	0.9541708	1.045829	0.348926	0.598398	0.851971	1.17375	1.67113	2.86594	0.7613162	1.096061	1.016236	0.00831026	0.0101031	0.0100788	0.00551074	0.0470799	0.0201215	0.101199	0.0948142	0.00843862	0.0493794	0.00616202	0.00334421	0.0352433	0.0446188	0.0606425	0.083301	0.0311912	0.00440041	0.0485296	0.093257	0.00180919	0.000517275	0.0580889	0.00914961	0.0305317	0.00315953	0.0125477	0.0273022	0.0911685	0.522915	0.477085	0.7290026
108	-95.07868	-124.8714	29.79274	0.0378769	0.0727365	0.0160919	0.0201342	0.0126571	0.00832785	0.11665	0.0743697	0.00294149	0.0262239	0.00859654	0.00549088	0.00285505	0.075208	0.0621259	0.101274	0.0152589	0.0133545	0.00443524	0.297574	0.0143667	0.0198787	0.0501413	0.00514559	0.0836749	0.0692597	0.0182233	0.13926	0.090938	0.568903	1.47421	0.6855678	1.314432	0.341142	0.591849	0.849052	1.17778	1.68962	2.93133	0.7776299	1.91729	0.4244954	0.0258533	0.0496471	0.0109837	0.0137428	0.00863925	0.00568426	0.079621	0.0507618	0.00200775	0.0178994	0.00586766	0.00374786	0.00194874	0.051334	0.0424047	0.0691258	0.0104151	0.00911527	0.00302732	0.203112	0.00980617	0.0135684	0.0342245	0.00351218	0.0571132	0.047274	0.0124385	0.0950536	0.0620707	0.657216	0.342784	1.465071
144	-98.60381	-124.7779	26.17407	0.00427032	0.00175953	0.000374846	0.00815985	0.00557123	0.00271648	0.046979	0.0596842	5.00075e-06	0.00660029	0.0034648	0.000661841	0.00279159	0.0099236	0.0719148	0.0332257	0.00386564	0.043665	0.00414122	0.0123692	0.00241006	0.00771017	0.0150958	0.000688953	0.003396	0.032219	0.0102142	0.0217296	0.00911526	1.47741	0.474846	0.2979816	1.702018	0.104098	0.331745	0.708761	1.41091	3.01436	9.6063	1.635885	5.711824	3.422483	0.0100544	0.00414276	0.000882564	0.0192122	0.0131173	0.00639587	0.110611	0.140525	1.17741e-05	0.0155402	0.00815777	0.00155829	0.00657272	0.0233649	0.169321	0.078229	0.00910155	0.102808	0.0097504	0.029123	0.00567443	0.0181534	0.0355428	0.00162212	0.0079958	0.0758589	0.0240491	0.0511618	0.0214617	0.851009	0.148991	0.4247232
180	-99.47138	-128.043	28.57158	0.00302356	0.0233477	0.00464212	0.0143983	0.0313594	0.00527177	0.0103898	0.0390142	0.00257309	0.0407094	0.0350802	0.000852988	0.0213613	0.0105063	0.0200249	0.0681496	0.0103853	0.00362297	0.0121895	0.0966216	0.0951158	0.00246817	0.0456785	0.00484988	0.0125734	0.00608569	0.0683967	0.0582265	0.0141073	1.49055	0.460394	0.9764303	1.02357	0.197868	0.453775	0.781521	1.27956	2.20373	5.05386	1.171482	1.048277	3.561309	0.00397301	0.0306792	0.00609981	0.0189196	0.0412068	0.00692718	0.0136523	0.0512652	0.00338107	0.0534928	0.046096	0.00112084	0.0280691	0.0138054	0.0263131	0.0895497	0.0136464	0.00476064	0.0160171	0.126962	0.124984	0.00324321	0.0600222	0.00637282	0.0165216	0.00799669	0.0898744	0.0765106	0.0185372	0.511785	0.488215	0.761026
216	-94.49523	-124.2031	29.70789	0.0309187	0.00909388	0.0145763	0.0392865	0.00576796	0.0343902	0.0425979	0.259448	0.0135079	0.0914572	0.0289755	0.00759134	0.101478	0.092506	0.0199776	0.357601	0.0132854	0.0171706	0.0294765	0.0172244	0.0479649	0.0416008	0.0189835	0.0441964	0.00608726	0.00172198	0.0450668	0.00593151	0.0267614	0.158131	1.92606	0.2659005	1.734099	0.791576	0.892266	0.965062	1.0362	1.12074	1.2633	0.1690027	6.521609	0.09031073	0.02111	0.00620893	0.00995207	0.0268232	0.00393813	0.0234802	0.0290841	0.17714	0.00922262	0.0624432	0.0197833	0.00518306	0.0692851	0.0631593	0.0136399	0.244156	0.00907069	0.0117234	0.0201253	0.0117601	0.0327485	0.0284033	0.0129612	0.0301755	0.00415613	0.0011757	0.0307697	0.0040498	0.0182716	0.86705	0.13295	1.464645
252	-92.40595	-124.0141	31.6082	0.00859229	0.00562745	0.00741327	0.00757043	0.035426	0.0198882	0.0156163	0.112585	0.0143396	0.0418652	0.0378402	0.00673169	0.0407621	0.023259	0.0337128	0.0328087	0.0625984	0.0220999	0.0975056	0.0075312	0.00717446	0.0272688	0.00637242	0.0423651	0.0445636	0.0577095	0.0142911	0.0349189	0.0245177	0.377302	1.68497	0.9238765	1.076123	0.467123	0.689892	0.890641	1.12279	1.4495	2.14076	0.5503727	1.164791	0.246315	0.00962232	0.00630206	0.00830195	0.00847796	0.0396727	0.0222724	0.0174883	0.126081	0.0160586	0.0468839	0.0423764	0.00753867	0.0456486	0.0260473	0.0377543	0.0367417	0.0701025	0.0247492	0.109194	0.00843403	0.00803452	0.0305377	0.00713633	0.0474437	0.0499058	0.0646276	0.0160042	0.0391049	0.0274568	0.538062	0.461938	0.8929546
288	-91.98681	-120.859	28.87224	0.00238104	0.0173675	0.0121927	0.0121145	0.00242554	0.0100803	0.0602825	0.0188875	0.0192521	0.0219105	0.00527836	0.00117739	0.0585398	0.0463608	0.00865898	0.125553	0.0188013	0.00487118	0.00943497	0.0042283	0.0215962	0.00428788	0.0262154	0.000197564	0.0368936	0.00935748	0.040926	0.00203755	0.0658148	0.276481	1.79587	0.2232397	1.77676	0.186155	0.440469	0.774298	1.29149	2.2703	5.37187	1.215607	7.95898	0.1693489	0.00356911	0.0260333	0.0182764	0.0181594	0.00363582	0.01511	0.0903618	0.0283118	0.0288583	0.0328432	0.00791211	0.00176488	0.0877494	0.0694935	0.0129796	0.1882	0.0281826	0.00730176	0.0141427	0.0063381	0.0323721	0.00642741	0.0392961	0.000296143	0.0553023	0.0140266	0.0613469	0.00305423	0.0986544	0.88838	0.11162	0.6671246
324	-94.32349	-123.64	29.31655	0.00627436	0.0262957	0.0161844	0.00764106	0.0186526	0.00338496	0.0342686	0.0289681	0.00540523	0.047196	0.0167077	0.0185573	0.0371305	0.0368859	0.0201183	0.151168	0.01859	0.00198163	0.0259658	0.0426861	0.0149042	0.0134572	0.0438397	3.36817e-05	0.0453013	0.000701216	0.0209052	0.00158365	0.0862454	0.526177	1.52121	0.2975985	1.702402	0.407168	0.645187	0.872219	1.1465	1.54994	2.45599	0.6496978	5.720465	0.3804839	0.00793184	0.0332422	0.0204597	0.00965959	0.02358	0.00427917	0.0433213	0.0366206	0.00683312	0.0596637	0.0211214	0.0234596	0.0469392	0.0466299	0.0254329	0.191102	0.0235009	0.00250511	0.0328252	0.0539624	0.0188414	0.0170121	0.0554207	4.25793e-05	0.0572684	0.000886455	0.0264276	0.00200199	0.109029	0.851201	0.148799	0.7910339
